2022-10-30-11031400:0.094;0.064;-0.160;0.071;0.018;-0.215;0.995;0.054;0.083;0.000;-4.388;-0.031;0.526;0.02635;-0.410
2022-10-30-11031400:0.099;0.066;-0.175;0.071;0.018;-0.217;0.995;0.054;0.083;0.000;-4.476;-0.032;0.539;0.02652;-0.438
2022-10-30-11031400:0.106;0.067;-0.197;0.071;0.017;-0.221;0.995;0.054;0.083;0.000;-4.599;-0.033;0.555;0.02677;-0.469
2022-10-30-11031500:0.093;0.126;0.012;0.062;0.047;-0.144;0.995;0.054;0.083;0.000;-4.675;-0.034;0.566;0.02692;-0.484
2022-10-30-11031500:0.097;0.130;0.001;0.051;0.050;-0.142;0.995;0.054;0.083;0.000;-4.759;-0.028;0.583;0.02709;-0.501
2022-10-30-11031500:0.101;0.133;-0.009;0.050;0.051;-0.136;0.995;0.054;0.083;0.000;-4.836;-0.024;0.600;0.02725;-0.514
2022-10-30-11031500:0.106;0.138;-0.022;0.055;0.049;-0.137;0.995;0.054;0.083;0.000;-4.929;-0.020;0.621;0.02745;-0.525
2022-10-30-11031500:0.110;0.142;-0.032;0.049;0.050;-0.139;0.995;0.054;0.083;0.000;-4.992;-0.018;0.634;0.02758;-0.530
2022-10-30-11031500:0.113;0.145;-0.042;0.049;0.048;-0.137;0.995;0.054;0.083;0.000;-5.049;-0.017;0.646;0.02770;-0.533
2022-10-30-11031500:0.118;0.150;-0.055;0.055;0.046;-0.138;0.995;0.054;0.083;0.000;-5.122;-0.016;0.661;0.02786;-0.536
2022-10-30-11031500:0.122;0.153;-0.065;0.048;0.046;-0.138;0.995;0.054;0.083;0.000;-5.169;-0.016;0.671;0.02796;-0.536
2022-10-30-11031500:0.125;0.156;-0.075;0.052;0.042;-0.149;0.995;0.054;0.083;0.000;-5.211;-0.017;0.679;0.02805;-0.536
2022-10-30-11031500:0.130;0.160;-0.090;0.053;0.042;-0.153;0.995;0.054;0.083;0.000;-5.274;-0.018;0.690;0.02818;-0.535
2022-10-30-11031500:0.134;0.163;-0.101;0.057;0.042;-0.153;0.995;0.054;0.083;0.000;-5.306;-0.019;0.695;0.02825;-0.534
2022-10-30-11031500:0.138;0.166;-0.111;0.053;0.039;-0.162;0.995;0.054;0.083;0.000;-5.345;-0.020;0.701;0.02833;-0.532
2022-10-30-11031500:0.144;0.170;-0.128;0.064;0.039;-0.169;0.995;0.054;0.083;0.000;-5.384;-0.021;0.704;0.02842;-0.530
2022-10-30-11031600:0.143;0.145;0.160;0.068;0.028;-0.073;0.995;0.054;0.083;0.000;-5.406;-0.021;0.712;0.02847;-0.530
2022-10-30-11031600:0.148;0.147;0.154;0.067;0.028;-0.076;0.995;0.054;0.083;0.000;-5.430;-0.022;0.722;0.02852;-0.529
2022-10-30-11031600:0.153;0.149;0.149;0.067;0.027;-0.077;0.995;0.054;0.083;0.000;-5.454;-0.023;0.732;0.02857;-0.529
2022-10-30-11031600:0.160;0.152;0.141;0.067;0.027;-0.081;0.995;0.054;0.083;0.000;-5.487;-0.023;0.743;0.02865;-0.527
2022-10-30-11031600:0.164;0.154;0.136;0.067;0.027;-0.084;0.995;0.054;0.083;0.000;-5.508;-0.024;0.750;0.02869;-0.526
2022-10-30-11031600:0.169;0.156;0.130;0.067;0.027;-0.087;0.995;0.054;0.083;0.000;-5.529;-0.024;0.755;0.02874;-0.524
2022-10-30-11031600:0.175;0.158;0.121;0.067;0.028;-0.089;0.995;0.054;0.083;0.000;-5.559;-0.024;0.763;0.02880;-0.522
2022-10-30-11031600:0.180;0.160;0.115;0.067;0.027;-0.092;0.995;0.054;0.083;0.000;-5.577;-0.024;0.767;0.02884;-0.521
2022-10-30-11031600:0.185;0.162;0.108;0.066;0.027;-0.094;0.995;0.054;0.083;0.000;-5.595;-0.024;0.770;0.02888;-0.519
2022-10-30-11031600:0.191;0.165;0.099;0.066;0.026;-0.098;0.995;0.054;0.083;0.000;-5.620;-0.025;0.775;0.02893;-0.517
2022-10-30-11031600:0.196;0.167;0.091;0.066;0.027;-0.101;0.995;0.054;0.083;0.000;-5.636;-0.025;0.778;0.02897;-0.515
2022-10-30-11031600:0.201;0.169;0.084;0.065;0.028;-0.104;0.995;0.054;0.083;0.000;-5.652;-0.025;0.780;0.02900;-0.514
2022-10-30-11031700:0.216;0.125;0.320;0.069;0.009;-0.035;0.995;0.054;0.083;0.000;-5.673;-0.025;0.782;0.02905;-0.511
2022-10-30-11031700:0.222;0.126;0.317;0.069;0.009;-0.035;0.995;0.054;0.083;0.000;-5.687;-0.027;0.792;0.02908;-0.510
2022-10-30-11031700:0.227;0.126;0.314;0.069;0.007;-0.038;0.995;0.054;0.083;0.000;-5.699;-0.029;0.800;0.02911;-0.509
2022-10-30-11031700:0.232;0.127;0.312;0.070;0.007;-0.040;0.995;0.054;0.083;0.000;-5.711;-0.031;0.807;0.02913;-0.508
2022-10-30-11031700:0.239;0.127;0.308;0.069;0.007;-0.042;0.995;0.054;0.083;0.000;-5.727;-0.033;0.815;0.02917;-0.507
2022-10-30-11031700:0.243;0.128;0.305;0.070;0.006;-0.043;0.995;0.054;0.083;0.000;-5.737;-0.034;0.820;0.02919;-0.506
2022-10-30-11031700:0.248;0.128;0.302;0.069;0.005;-0.045;0.995;0.054;0.083;0.000;-5.747;-0.035;0.824;0.02921;-0.505
2022-10-30-11031700:0.255;0.129;0.297;0.069;0.005;-0.048;0.995;0.054;0.083;0.000;-5.761;-0.037;0.829;0.02924;-0.504
2022-10-30-11031700:0.260;0.129;0.293;0.068;0.004;-0.051;0.995;0.054;0.083;0.000;-5.770;-0.038;0.832;0.02926;-0.503
2022-10-30-11031700:0.265;0.129;0.290;0.068;0.004;-0.053;0.995;0.054;0.083;0.000;-5.779;-0.038;0.835;0.02928;-0.502
2022-10-30-11031700:0.271;0.130;0.284;0.068;0.004;-0.057;0.995;0.054;0.083;0.000;-5.791;-0.039;0.838;0.02930;-0.500
2022-10-30-11031700:0.276;0.130;0.280;0.068;0.002;-0.059;0.995;0.054;0.083;0.000;-5.800;-0.040;0.839;0.02932;-0.499
